batch_size,layers,dropout_rate,n_filters,filter_size,fc_units,epoch,train_time,test_loss,accuracy
200,4,0.75,10,5,50,10,0 days 00:05:53.408693000,0.0912127849817276,0.9738
200,4,0.75,10,5,50,15,0 days 00:11:47.057828000,0.054100787723064425,0.98485
200,4,0.75,10,5,100,5,0 days 00:01:54.681873000,0.20264555115699767,0.93765
200,4,0.75,10,5,100,10,0 days 00:05:49.758672000,0.06972007973790169,0.9783
200,4,0.75,10,5,100,15,0 days 00:11:49.280333000,0.04430605274438858,0.98675
200,4,0.75,16,5,50,5,0 days 00:01:54.935329000,0.27383312072753907,0.92715
200,4,0.75,16,5,50,10,0 days 00:05:51.689892000,0.07892984021902084,0.9766
200,4,0.75,16,5,50,15,0 days 00:11:47.682881000,0.047785280120372774,0.98625
200,4,0.75,16,5,100,5,0 days 00:01:57.119351000,0.2099500698566437,0.938125
200,4,0.75,16,5,100,10,0 days 00:05:55.907347000,0.06497224554419517,0.97985
200,4,0.75,16,5,100,15,0 days 00:11:54.536123000,0.03959558520913124,0.9882
300,1,0.2,10,5,50,5,0 days 00:01:50.831768000,0.20169029126167298,0.94155
300,1,0.2,10,5,50,10,0 days 00:05:39.986582000,0.12193602240085602,0.963575
300,1,0.2,10,5,50,15,0 days 00:11:26.658175000,0.07904104145765305,0.976825
300,1,0.2,10,5,100,5,0 days 00:01:52.340605000,0.19774584369659423,0.943225
300,1,0.2,10,5,100,10,0 days 00:05:43.753366000,0.11092698707580566,0.967875
300,1,0.2,10,5,100,15,0 days 00:11:34.102793000,0.07003686743974685,0.9793
300,1,0.2,16,5,50,5,0 days 00:01:52.456914000,0.1955232159614563,0.943975
300,1,0.2,16,5,50,10,0 days 00:05:44.100701000,0.10397356789112092,0.969525
300,1,0.2,16,5,50,15,0 days 00:11:31.346589000,0.05936663302183151,0.982725
300,1,0.2,16,5,100,5,0 days 00:01:51.455140000,0.19113360319137573,0.944825
300,1,0.2,16,5,100,10,0 days 00:05:41.812620000,0.10155958672761917,0.969925
300,1,0.2,16,5,100,15,0 days 00:11:28.166604000,0.06187190846204758,0.98145
300,1,0.5,10,5,50,5,0 days 00:01:51.862920000,0.23323696603775024,0.934125
300,1,0.5,10,5,50,10,0 days 00:05:43.388758000,0.12992647228240967,0.96265
300,1,0.5,10,5,50,15,0 days 00:11:30.178220000,0.08344299235343933,0.97515
300,1,0.5,10,5,100,5,0 days 00:01:53.135012000,0.21108803751468658,0.938375
300,1,0.5,10,5,100,10,0 days 00:05:45.026533000,0.1293617838382721,0.96155
300,1,0.5,10,5,100,15,0 days 00:11:33.633044000,0.08892997831106186,0.973575
300,1,0.5,16,5,50,5,0 days 00:01:51.731542000,0.2149211266517639,0.937675
300,1,0.5,16,5,50,10,0 days 00:05:42.716380000,0.12133965048789978,0.963925
300,1,0.5,16,5,50,15,0 days 00:11:28.710117000,0.07313007571697235,0.978475
300,1,0.5,16,5,100,5,0 days 00:01:52.479936000,0.18600390920639037,0.945675
300,1,0.5,16,5,100,10,0 days 00:05:45.718054000,0.10112622399330139,0.9703
